,time,fixations
115,4.947588888,"  fixation id           x           y fixation status
0         5.0  790.951857  480.911000          during
1         4.0  802.117554  520.884338         tracked
2         3.0  837.953491  528.239380         tracked"
116,4.980933333,"  fixation id           x           y fixation status
0         5.0  804.324333  491.346500          during
1         4.0  802.018677  531.318787         tracked
2         3.0  837.847351  538.848816         tracked"
117,5.014277777,"  fixation id           x           y fixation status
0         5.0  801.899571  516.782857          during
1         4.0  801.237610  544.785217         tracked
2         3.0  837.089294  552.372009         tracked"
118,5.047622222,"  fixation id           x           y fixation status
0         5.0  792.435286  533.336714          during
1         4.0  800.337402  555.714966         tracked
2         3.0  836.206299  563.335876         tracked"
119,5.080966666,"  fixation id           x           y fixation status
0         5.0  795.459000  524.874571          during
1         4.0  799.197510  556.610229         tracked
2         3.0  835.096375  564.273621         tracked"
120,5.114311111,"  fixation id           x           y fixation status
0         5.0  788.647143  508.273857          during
1         4.0  796.111694  546.285889         tracked
2         3.0  831.999756  553.975342         tracked"
121,5.147644444,"  fixation id           x           y fixation status
0         5.0  784.036286  508.684714          during
1         4.0  791.895508  537.292969         tracked
2         3.0  827.835449  544.904785         tracked"
122,5.180988888,"  fixation id           x           y fixation status
0         5.0  776.823000  504.008857          during
1         4.0  789.004883  528.882996         tracked
2         3.0  825.012451  536.421875         tracked"
123,5.214333333,"  fixation id           x           y fixation status
0         5.0  775.661143  484.233714          during
1         4.0  787.632446  517.838013         tracked
2         3.0  823.651184  525.655762         tracked"
124,5.247677777,"  fixation id           x           y fixation status
0         5.0  779.615667  481.331500          during
1         4.0  787.442871  503.675171         tracked
2         3.0  823.489197  511.690491         tracked"
125,5.281022222,"  fixation id           x           y fixation status
0         5.0  784.699571  456.345286          during
1         4.0  788.836670  491.365723         tracked
2         3.0  824.897095  499.417511         tracked"
126,5.314355555,"  fixation id           x           y fixation status
0         5.0  798.865857  439.568571             end
1         4.0  792.068665  479.759979         tracked
2         3.0  828.151367  487.725403         tracked"
127,5.3477,"   fixation id           x           y fixation status
1          5.0  802.980408  426.762268         tracked
2          4.0  796.510315  466.520996         tracked
3          3.0  832.655884  474.388397         tracked"
128,5.381044444,"  fixation id           x           y fixation status
0         6.0  566.208000  454.714571           start
1         5.0  807.678711  411.492737         tracked
2         4.0  801.421753  451.464478         tracked
3         3.0  837.565796  459.399811         tracked"
129,5.414388888,"  fixation id           x           y fixation status
0         6.0  540.401333  425.908500          during
1         5.0  811.752502  398.135803         tracked
2         4.0  805.513733  439.135895         tracked
3         3.0  841.677612  446.993500         tracked"
130,5.447733333,"  fixation id           x           y fixation status
0         6.0  536.511833  427.847333          during
1         5.0  814.082642  387.396240         tracked
2         4.0  807.793030  429.343567         tracked
3         3.0  843.964233  437.171387         tracked"
131,5.481077777,"  fixation id           x           y fixation status
0         6.0  543.283714  419.186286          during
1         5.0  814.062683  379.183685         tracked
2         4.0  807.729248  421.772919         tracked
3         3.0  843.918152  429.586365         tracked"
132,5.514411111,"  fixation id           x           y fixation status
0         6.0  544.763000  406.738857          during
1         5.0  812.968140  373.571136         tracked
2         4.0  806.601135  416.952057         tracked
3         3.0  842.840942  424.719574         tracked"
133,5.547755555,"  fixation id           x           y fixation status
0         6.0  539.295167  405.572000          during
1         5.0  812.687134  370.680634         tracked
2         4.0  806.313232  414.503357         tracked
3         3.0  842.567261  422.244354         tracked"
134,5.5811,"  fixation id           x           y fixation status
0         6.0  537.441429  402.971714          during
1         5.0  814.565308  369.017151         tracked
2         4.0  808.162842  412.855042         tracked
3         3.0  844.398193  420.640961         tracked"
135,5.614444444,"  fixation id           x           y fixation status
0         6.0  545.681429  393.493143             end
1         5.0  820.840576  363.350281         tracked
2         4.0  814.340637  407.228790         tracked
3         3.0  850.623718  415.021179         tracked"
136,5.647788888,"   fixation id           x           y fixation status
1          6.0  552.877808  386.217743         tracked
2          5.0  832.859253  359.644196         tracked
3          4.0  825.814453  404.002075         tracked
4          3.0  862.003113  411.925903         tracked"
137,5.681122222,"  fixation id           x           y fixation status
0         7.0  813.590000  385.285571           start
1         6.0  560.545593  384.975586         tracked
2         5.0  845.308533  364.296722         tracked
3         4.0  837.566589  408.930206         tracked
4         3.0  873.692139  417.045990         tracked"
138,5.714466666,"  fixation id           x           y fixation status
0         7.0  815.859714  395.396571          during
1         6.0  563.582397  387.926575         tracked
2         5.0  852.925415  371.141113         tracked
3         4.0  845.042603  415.770508         tracked
4         3.0  881.223572  423.889954         tracked"
139,5.747811111,"  fixation id           x           y fixation status
0         7.0  821.540667  393.085333             end
1         6.0  562.810608  393.025787         tracked
2         5.0  856.558716  373.936676         tracked
3         4.0  848.903076  418.253693         tracked
4         3.0  885.109436  426.352356         tracked"
140,5.781155555,"   fixation id           x           y fixation status
1          7.0  822.757812  393.433807         tracked
2          6.0  560.182739  394.654755         tracked
3          5.0  858.077637  373.858612         tracked
4          4.0  850.731506  418.053741         tracked
5          3.0  886.964478  426.141937         tracked"
141,5.8145,"  fixation id           x           y fixation status
0         8.0  887.351000  411.268857           start
1         7.0  822.710083  394.052795         tracked
2         6.0  555.679688  395.819000         tracked
3         5.0  858.386475  374.161560         tracked
4         4.0  851.143250  418.456329         tracked
5         3.0  887.404358  426.528748         tracked"
142,5.847844444,"  fixation id           x           y fixation status
0         8.0  888.482667  418.750667          during
1         7.0  820.969910  395.690918         tracked
2         6.0  549.631775  396.672516         tracked
3         5.0  857.182678  375.695251         tracked
4         4.0  849.935852  420.024811         tracked
5         3.0  886.193848  428.117950         tracked"
143,5.881177777,"  fixation id           x           y fixation status
0         8.0  884.733571  414.271000          during
1         7.0  817.357971  398.971893         tracked
2         6.0  543.788208  399.519135         tracked
3         5.0  853.937317  378.904144         tracked
4         4.0  846.712769  423.522247         tracked
5         3.0  882.993225  431.573914         tracked"
144,5.914522222,"  fixation id           x           y fixation status
0         8.0  880.994571  418.191714          during
1         7.0  811.846436  404.291992         tracked
2         6.0  533.098633  403.665863         tracked
3         5.0  848.786682  384.382782         tracked
4         4.0  841.615662  429.197662         tracked
5         3.0  877.874390  437.213165         tracked"
145,5.947866666,"  fixation id           x           y fixation status
0         8.0  869.652000  432.461333          during
1         7.0  805.615173  412.240204         tracked
2         6.0  524.310547  409.388733         tracked
3         5.0  842.801636  392.316467         tracked
4         4.0  835.765320  437.483734         tracked
5         3.0  872.041443  445.452942         tracked"
146,5.981211111,"  fixation id           x           y fixation status
0         8.0  864.802857  448.959286          during
1         7.0  799.692566  421.011505         tracked
2         6.0  517.211060  418.426544         tracked
3         5.0  837.239746  400.938873         tracked
4         4.0  830.373108  446.415710         tracked
5         3.0  866.707397  454.291870         tracked"
147,6.014555555,"  fixation id           x           y fixation status
0         8.0  857.658429  462.312000          during
1         7.0  795.486938  429.248840         tracked
2         6.0  511.426910  426.038116         tracked
3         5.0  833.286804  408.971344         tracked
4         4.0  826.554871  455.050201         tracked
5         3.0  862.905334  462.904449         tracked"
148,6.047888888,"  fixation id           x           y fixation status
0         8.0  848.703333  463.286167          during
1         7.0  792.751038  432.594208         tracked
2         6.0  507.496765  428.301636         tracked
3         5.0  830.768799  411.935394         tracked
4         4.0  824.027161  458.445007         tracked
5         3.0  860.399475  466.222595         tracked"
149,6.081233333,"  fixation id           x           y fixation status
0         8.0  854.288000  455.298667          during
1         7.0  788.134521  427.937256         tracked
2         6.0  499.698029  426.509277         tracked
3         5.0  826.480957  407.287994         tracked
4         4.0  819.803711  453.732391         tracked
5         3.0  856.212952  461.497070         tracked"
150,6.114577777,"  fixation id           x           y fixation status
0         8.0  835.115167  443.296833          during
1         7.0  778.921936  420.528564         tracked
2         6.0  487.144501  422.059540         tracked
3         5.0  817.625488  399.473724         tracked
4         4.0  811.076416  445.987396         tracked
5         3.0  847.565186  453.698029         tracked"
151,6.147922222,"  fixation id           x           y fixation status
0         8.0  827.762000  438.551500          during
1         7.0  766.395142  416.498352         tracked
2         6.0  473.263947  420.380829         tracked
3         5.0  805.238708  394.843597         tracked
4         4.0  798.911865  441.545837         tracked
5         3.0  835.468811  449.167450         tracked"
152,6.181266666,"  fixation id           x           y fixation status
0         8.0  820.619143  438.378714          during
1         7.0  754.473694  415.847137         tracked
2         6.0  458.386230  419.487213         tracked
3         5.0  793.514709  394.213898         tracked
4         4.0  787.126221  440.911804         tracked
5         3.0  823.729675  448.533997         tracked"
153,6.214611111,"  fixation id           x           y fixation status
0         8.0  810.061286  439.336000          during
1         7.0  744.298889  413.539703         tracked
2         6.0  444.990448  415.402893         tracked
3         5.0  784.078064  392.352844         tracked
4         4.0  777.168762  438.934845         tracked
5         3.0  813.762451  446.643921         tracked"
